               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,           0.0030725,           0.0016817,           0.0074686,              0.9657,             0.94023,             0.98418,             0.98418,           0.0015718,           0.0023673,           0.0019955,           0.0026316,           0.0026316,           0.0026316
                 110,           0.0029861,           0.0016596,           0.0073356,             0.96748,             0.94002,             0.98418,             0.98418,           0.0015779,           0.0023689,           0.0019826,           0.0025596,           0.0025596,           0.0025596
                 111,           0.0029336,            0.001599,           0.0074308,             0.96722,             0.94001,              0.9842,              0.9842,           0.0015749,           0.0023705,           0.0019749,           0.0024889,           0.0024889,           0.0024889
                 112,           0.0029589,           0.0016221,           0.0074475,             0.96716,             0.93936,             0.98427,             0.98427,           0.0015658,           0.0023728,            0.001968,           0.0024195,           0.0024195,           0.0024195
                 113,           0.0028707,           0.0016029,           0.0073078,             0.96751,             0.93981,             0.98433,             0.98433,           0.0015559,           0.0023765,            0.001962,           0.0023515,           0.0023515,           0.0023515
                 114,           0.0028365,           0.0015831,           0.0072026,             0.96807,             0.93946,             0.98444,             0.98444,           0.0015439,           0.0023771,             0.00195,           0.0022849,           0.0022849,           0.0022849
                 115,           0.0027856,           0.0015665,           0.0072387,             0.96921,             0.93781,             0.98449,             0.98449,           0.0015399,           0.0023776,           0.0019403,           0.0022196,           0.0022196,           0.0022196
                 116,           0.0027671,           0.0015621,           0.0071148,             0.95388,             0.95308,             0.98454,             0.98454,           0.0015374,           0.0023799,            0.001933,           0.0021558,           0.0021558,           0.0021558
                 117,           0.0027733,           0.0015465,           0.0070912,             0.95397,             0.95228,              0.9845,              0.9845,            0.001534,           0.0023795,           0.0019349,           0.0020935,           0.0020935,           0.0020935
                 118,           0.0026442,           0.0015292,           0.0070914,             0.96485,             0.93896,             0.98438,             0.98438,           0.0015303,            0.002378,           0.0019504,           0.0020327,           0.0020327,           0.0020327
                 119,            0.002629,           0.0015187,           0.0068981,             0.96967,             0.93473,             0.98425,             0.98425,           0.0015215,           0.0023788,           0.0019629,           0.0019734,           0.0019734,           0.0019734
                 120,           0.0025637,           0.0014958,           0.0068338,             0.96864,             0.93449,             0.98421,             0.98421,           0.0015139,           0.0023851,           0.0019668,           0.0019156,           0.0019156,           0.0019156
                 121,           0.0025949,           0.0014981,           0.0068188,             0.97139,             0.93099,             0.98407,             0.98407,           0.0015094,           0.0023886,           0.0019788,           0.0018594,           0.0018594,           0.0018594
                 122,           0.0025092,           0.0014622,           0.0065923,             0.97255,              0.9308,             0.98421,             0.98421,           0.0015136,           0.0023927,           0.0019671,           0.0018048,           0.0018048,           0.0018048
                 123,            0.002518,           0.0014875,           0.0065309,             0.97223,             0.93066,             0.98432,             0.98432,           0.0015122,           0.0023975,           0.0019567,           0.0017519,           0.0017519,           0.0017519
                 124,           0.0024988,           0.0014505,           0.0065866,             0.97229,             0.92988,             0.98417,             0.98417,           0.0015026,           0.0024033,           0.0019742,           0.0017005,           0.0017005,           0.0017005
                 125,           0.0024274,           0.0014429,           0.0065096,             0.97136,             0.92957,             0.98417,             0.98417,           0.0014933,            0.002404,           0.0019754,           0.0016509,           0.0016509,           0.0016509
                 126,           0.0023827,           0.0014434,           0.0064194,             0.97409,             0.92702,             0.98427,             0.98427,           0.0014918,           0.0024065,           0.0019671,           0.0016029,           0.0016029,           0.0016029
                 127,           0.0023835,           0.0014177,           0.0062734,             0.97324,             0.92658,             0.98412,             0.98412,           0.0014917,           0.0024116,            0.001982,           0.0015566,           0.0015566,           0.0015566
                 128,            0.002324,           0.0014036,           0.0064624,             0.97018,             0.93116,             0.98427,             0.98427,           0.0014798,           0.0024139,           0.0019617,           0.0015121,           0.0015121,           0.0015121
                 129,           0.0022963,           0.0013911,           0.0062923,             0.96959,             0.93194,             0.98424,             0.98424,           0.0014781,           0.0024164,           0.0019621,           0.0014693,           0.0014693,           0.0014693
                 130,           0.0022978,           0.0013958,           0.0063229,             0.96854,             0.93369,             0.98435,             0.98435,           0.0014734,           0.0024194,           0.0019417,           0.0014283,           0.0014283,           0.0014283
                 131,           0.0022733,           0.0013973,           0.0063564,             0.96796,             0.93408,             0.98435,             0.98435,           0.0014748,           0.0024244,           0.0019378,            0.001389,            0.001389,            0.001389
                 132,           0.0022403,           0.0013797,           0.0062377,             0.96907,             0.93315,             0.98439,             0.98439,           0.0014554,           0.0024246,           0.0019281,           0.0013516,           0.0013516,           0.0013516
                 133,           0.0022049,           0.0013607,           0.0062669,             0.96275,             0.93797,             0.98432,             0.98432,           0.0014478,            0.002428,           0.0019292,            0.001316,            0.001316,            0.001316
                 134,           0.0021944,           0.0013352,           0.0059996,             0.97259,             0.93134,             0.98446,             0.98446,           0.0014491,           0.0024338,           0.0019061,           0.0012822,           0.0012822,           0.0012822
                 135,           0.0021444,           0.0013506,            0.005831,             0.96408,             0.93781,              0.9845,              0.9845,           0.0014426,           0.0024376,           0.0019074,           0.0012503,           0.0012503,           0.0012503
                 136,           0.0021339,           0.0013344,           0.0059908,             0.97175,             0.93265,             0.98466,             0.98466,           0.0014359,           0.0024375,           0.0018918,           0.0012202,           0.0012202,           0.0012202
                 137,           0.0021338,           0.0013341,           0.0059836,             0.97035,             0.93254,             0.98451,             0.98451,           0.0014297,           0.0024394,           0.0019053,           0.0011921,           0.0011921,           0.0011921
                 138,           0.0020812,           0.0013269,            0.006034,             0.97329,             0.93136,             0.98463,             0.98463,           0.0014253,            0.002443,           0.0018905,           0.0011658,           0.0011658,           0.0011658
                 139,           0.0020776,           0.0013277,           0.0060353,             0.97218,              0.9325,             0.98466,             0.98466,           0.0014168,            0.002447,           0.0018784,           0.0011414,           0.0011414,           0.0011414
                 140,           0.0020668,           0.0013075,           0.0058016,             0.97143,             0.93531,             0.98482,             0.98482,           0.0014124,           0.0024508,           0.0018528,           0.0011189,           0.0011189,           0.0011189
                 141,           0.0020438,           0.0012992,           0.0059086,             0.97144,             0.93589,             0.98493,             0.98493,           0.0013949,           0.0024531,           0.0018407,           0.0010983,           0.0010983,           0.0010983
                 142,           0.0020334,           0.0012983,           0.0057808,             0.96331,             0.94624,             0.98504,             0.98504,           0.0013898,           0.0024587,           0.0018263,           0.0010797,           0.0010797,           0.0010797
                 143,           0.0020342,           0.0012837,           0.0058398,             0.96184,             0.94609,             0.98498,             0.98498,           0.0013825,           0.0024669,            0.001833,            0.001063,            0.001063,            0.001063
                 144,           0.0019877,           0.0012781,           0.0059089,             0.96289,             0.94605,               0.985,               0.985,           0.0013655,           0.0024729,           0.0018299,           0.0010483,           0.0010483,           0.0010483
                 145,           0.0019816,           0.0012597,           0.0055819,             0.95844,             0.94647,             0.98475,             0.98475,           0.0013478,           0.0024774,           0.0018466,           0.0010355,           0.0010355,           0.0010355
                 146,           0.0020108,           0.0012853,            0.005941,             0.95588,             0.94648,             0.98468,             0.98468,           0.0013301,           0.0024818,           0.0018527,           0.0010247,           0.0010247,           0.0010247
                 147,           0.0019746,           0.0012835,           0.0057649,             0.95903,             0.94647,             0.98479,             0.98479,           0.0013224,           0.0024839,            0.001834,           0.0010158,           0.0010158,           0.0010158
                 148,           0.0019932,           0.0012659,           0.0055818,             0.96517,             0.93746,              0.9847,              0.9847,           0.0013225,           0.0024868,           0.0018509,           0.0010089,           0.0010089,           0.0010089
